x_loc,y_loc,radius,mass,x_vel,y_vel
128,127,6,1.2,0.822938,1.149367
495,366,10,1.674481,1.563081,0.831983
155,238,9,1.8,-1.207962,1.54204
355,52,8,1.6,-0.799432,0.743744
189,240,7,1.4,0.747993,-1.814185
294,79,7,1.4,0.016051,-0.263917
463,302,2,3.3e-05,1.341834,-0.78462
531,229,6,1.2,0.058699,-1.872293
233,397,3,5e-05,-1.826238,-0.60331
151,237,1,1.7e-05,1.292732,-1.156541
145,35,6,1.2,1.846174,0.215777
221,57,10,1.674481,0.793432,-0.368873
440,280,1,1.7e-05,0.100239,-0.76567
278,53,10,1.674481,1.849625,0.55622
457,449,10,1.674481,1.439141,-0.757585
188,298,2,3.3e-05,-0.681618,-0.701349
516,192,6,1.2,0.896162,0.417696
46,147,3,5e-05,1.853952,-0.950702
484,237,8,1.6,-1.75084,1.432972
94,294,10,1.674481,0.985297,-0.047271
559,15,1,1.7e-05,-0.782538,-0.9291
310,84,6,1.2,1.675867,0.593237
19,409,6,1.2,0.579031,1.854272
426,212,9,1.8,1.762022,0.735456
125,156,7,1.4,1.480851,-0.461789
448,357,8,1.6,-0.237939,-0.881281
207,339,2,3.3e-05,0.975563,1.525855
159,86,2,3.3e-05,0.70365,1.597942
556,245,6,1.2,-0.007596,0.664884
481,144,6,1.2,1.634656,-1.328387
17,241,1,1.7e-05,1.152205,-0.232995
569,66,6,1.2,-0.055041,-0.035422
357,252,4,6.7e-05,-0.893287,0.408751
301,63,3,5e-05,1.398729,1.985702
181,274,8,1.6,1.356775,-0.094869
426,309,3,5e-05,-0.749788,0.176974
363,353,10,1.674481,0.41978,-0.378156
123,273,8,1.6,0.202151,1.268402
16,424,3,5e-05,-1.839589,1.843547
246,96,9,1.8,1.205307,-1.835381
247,266,7,1.4,0.289121,-1.064835
208,15,9,1.8,-0.367764,-0.00803
380,377,5,1.0,0.301237,-0.349971
469,286,9,1.8,-0.831212,0.651766
472,471,2,3.3e-05,0.650334,1.786675
502,18,9,1.8,1.88881,-0.730455
123,181,7,1.4,1.104936,1.944253
587,178,6,1.2,-0.590643,-0.269232
544,384,2,3.3e-05,-1.824358,-0.487835
125,462,4,6.7e-05,0.858854,1.768547
77,32,5,1.0,1.648139,-1.12082
434,433,9,1.8,-0.611496,-0.692883
392,211,4,6.7e-05,-0.624194,1.74937
359,360,10,1.674481,1.496383,-0.893924
375,348,8,1.6,-1.667917,-0.002029
634,299,9,1.8,0.444887,-1.232493
173,0,10,1.674481,0.720288,1.979771
524,33,4,6.7e-05,1.858566,-0.327043
256,137,9,1.8,1.58915,-0.088104
520,162,3,5e-05,-0.562205,-0.897425
459,411,3,5e-05,1.989167,-0.187816
321,321,9,1.8,-1.189307,-1.990616
16,364,5,1.0,-0.112783,-0.240816
551,191,5,1.0,-0.024901,1.223991
305,214,6,1.2,1.718074,-1.318299
131,360,3,5e-05,-1.794723,1.451627
173,147,4,6.7e-05,-0.631883,1.527188
624,327,7,1.4,-1.352377,-1.990222
373,373,6,1.2,0.015449,-0.552891
190,21,6,1.2,0.172417,1.041112
636,127,5,1.0,0.207324,0.182024
281,92,10,1.674481,-0.087929,0.268873
151,366,3,5e-05,-0.19763,0.150649
496,461,2,3.3e-05,0.549593,0.184472
140,191,4,6.7e-05,1.459107,0.17136
611,216,4,6.7e-05,0.249688,-1.913232
269,33,8,1.6,-0.580747,0.126735
57,303,9,1.8,1.390823,0.689174
592,310,1,1.7e-05,-0.69718,0.621276
333,36,8,1.6,-0.541798,-0.206544
89,76,7,1.4,-1.940559,0.766819
70,237,10,1.674481,0.868915,-0.01647
505,31,10,1.674481,-0.384629,-0.245286
580,272,6,1.2,0.040033,-1.849638
174,237,1,1.7e-05,-1.836729,-1.165285
324,321,3,5e-05,1.208168,0.226608
299,377,6,1.2,0.027188,0.644422
88,322,7,1.4,0.497629,-0.729791
540,151,4,6.7e-05,-0.959988,-0.969724
309,380,3,5e-05,-0.989723,1.747311
523,47,7,1.4,0.540347,1.272017
539,463,8,1.6,1.240218,-0.893729
550,74,7,1.4,-1.319838,-1.385522
557,363,6,1.2,1.811003,0.091021
559,360,4,6.7e-05,0.325743,1.991462
194,195,9,1.8,-0.667313,-1.805468
139,215,4,6.7e-05,0.740307,-1.510297
463,227,4,6.7e-05,-0.866091,-0.994673
137,437,8,1.6,-0.432102,1.602349
491,376,7,1.4,0.71885,1.829954
472,219,6,1.2,-0.603709,-1.971164
91,344,8,1.6,0.315826,-1.788967
563,247,5,1.0,-0.864003,-0.196921
96,339,2,3.3e-05,-0.253243,1.273946
81,27,7,1.4,0.947986,-0.722578
371,450,4,6.7e-05,0.570183,-0.137746
624,144,10,1.674481,-0.701436,1.138255
268,421,2,3.3e-05,0.760468,-1.794138
190,272,2,3.3e-05,1.023831,-1.631011
149,289,10,1.674481,0.431271,-0.287949
452,227,5,1.0,0.471063,-0.938929
66,428,8,1.6,-1.433309,1.198089
533,187,10,1.674481,1.098624,-0.023688
486,0,8,1.6,1.44126,0.17514
623,150,5,1.0,1.618539,0.94694
222,275,3,5e-05,-1.797562,0.504465
601,469,10,1.674481,-0.724885,-0.815278
186,65,10,1.674481,0.058904,1.501689
125,128,9,1.8,0.381879,0.632252
499,185,6,1.2,-1.30116,1.148186
195,209,10,1.674481,-1.824933,-0.395759
184,366,5,1.0,1.667102,0.312608
483,12,10,1.674481,0.144689,-1.393727
474,317,1,1.7e-05,1.557787,-1.118882
232,369,3,5e-05,-1.452499,-0.691464
187,437,2,3.3e-05,0.376672,1.797134
255,221,4,6.7e-05,-0.486266,-1.168884
123,237,6,1.2,-1.324455,-1.026798
281,314,4,6.7e-05,-0.149263,-1.877315
542,48,5,1.0,-1.732786,1.180605
137,47,8,1.6,0.467333,1.684322
632,297,10,1.674481,0.246394,0.93328
254,313,6,1.2,1.301932,-0.656582
287,196,8,1.6,-0.251572,1.176589
403,367,7,1.4,-1.576081,-0.659027
438,415,5,1.0,1.066246,-1.536118
330,36,9,1.8,0.971365,-0.037831
577,157,4,6.7e-05,-1.740346,-0.35991
39,98,1,1.7e-05,-1.488145,1.835443
58,9,8,1.6,1.114882,1.007804
10,69,7,1.4,-1.312453,-0.649634
413,108,1,1.7e-05,1.584012,1.71336
232,352,6,1.2,-0.699962,-1.432938
498,275,6,1.2,0.428003,0.142491
554,286,1,1.7e-05,1.304297,1.984607
99,187,5,1.0,-1.946077,0.928394
549,99,7,1.4,-1.831255,-1.800162
583,263,1,1.7e-05,0.945547,1.398199
289,227,4,6.7e-05,-1.489085,1.269663
32,2,6,1.2,-0.788045,-0.302498
149,192,1,1.7e-05,-1.638206,1.973312
193,320,9,1.8,-0.01538,0.91906
337,302,10,1.674481,0.997939,-1.418751
50,343,4,6.7e-05,1.222973,-0.228636
11,168,2,3.3e-05,-0.880179,1.917063
639,45,3,5e-05,0.656937,0.157436
428,279,6,1.2,-0.282425,-1.640038
499,69,7,1.4,0.391109,-1.601473
475,415,4,6.7e-05,-0.559375,0.71315
597,296,9,1.8,-1.298743,-0.139141
576,277,5,1.0,-0.524345,-1.208248
300,76,2,3.3e-05,0.747773,1.355851
11,424,1,1.7e-05,1.638387,-0.696016
252,18,5,1.0,-0.570614,-1.909277
404,52,2,3.3e-05,1.766369,1.546047
358,64,1,1.7e-05,0.405267,0.301591
208,138,5,1.0,-1.911467,1.629367
538,344,1,1.7e-05,-0.626333,-0.540592
623,60,9,1.8,0.897012,0.980094
234,281,8,1.6,-0.811481,-0.122184
279,304,9,1.8,0.894064,0.988549
572,472,3,5e-05,0.290119,-0.489248
393,140,6,1.2,-1.093077,-0.49434
155,308,6,1.2,0.140647,-1.300954
179,464,6,1.2,1.410395,0.843926
629,141,8,1.6,0.526656,-0.434109
638,147,9,1.8,-1.540185,1.990733
506,305,10,1.674481,1.347873,1.921378
346,48,10,1.674481,1.130483,-1.359653
314,152,5,1.0,1.651684,1.854407
572,464,5,1.0,-1.345551,-1.93318
238,309,10,1.674481,0.183675,0.746777
633,25,5,1.0,0.953953,1.055904
173,39,4,6.7e-05,-1.424975,0.832702
411,298,6,1.2,0.957031,-1.201853
403,123,6,1.2,1.879997,-1.910738
271,252,5,1.0,-0.895214,-1.068898
304,81,6,1.2,0.015383,-0.434606
442,272,10,1.674481,-1.811446,0.042406
184,29,7,1.4,-1.421853,0.003109
364,118,9,1.8,0.176018,-1.72194
38,469,5,1.0,-0.131153,-1.442966
214,119,1,1.7e-05,0.78985,-0.635021
540,211,1,1.7e-05,0.934404,1.7218
114,355,5,1.0,-0.861085,0.304067
529,284,6,1.2,-0.065171,-0.909438
82,172,9,1.8,-1.760645,1.109942
349,369,4,6.7e-05,1.579601,1.517482
321,336,1,1.7e-05,-0.440326,0.973652
505,25,5,1.0,-1.013028,1.347452
286,87,7,1.4,0.540782,-1.77133
394,369,2,3.3e-05,-1.434195,1.657678
75,183,2,3.3e-05,-0.243934,0.622897
612,167,5,1.0,-0.564691,-1.006784
99,205,3,5e-05,0.290166,0.351861
378,95,8,1.6,0.576421,0.56379
570,473,8,1.6,-1.767949,-1.226051
473,35,8,1.6,0.188355,-1.197612
304,110,5,1.0,1.627194,1.093056
187,54,2,3.3e-05,-1.765685,-0.263734
604,56,6,1.2,1.238742,1.582497
164,284,2,3.3e-05,0.901427,-0.503299
166,297,10,1.674481,-0.010467,0.944592
540,78,4,6.7e-05,0.544406,-0.016783
179,65,10,1.674481,0.489378,0.72227
374,472,9,1.8,-0.239771,-0.424463
242,71,3,5e-05,-0.868092,1.392602
253,462,1,1.7e-05,0.94534,0.202291
497,127,4,6.7e-05,-1.631544,0.017867
448,190,3,5e-05,1.814637,-1.998601
346,32,1,1.7e-05,-1.493032,0.244558
142,203,1,1.7e-05,-0.834709,-0.047759
311,158,10,1.674481,-1.528514,-0.753891
76,293,10,1.674481,0.445379,0.683002
367,428,1,1.7e-05,0.002222,-1.634289
93,370,1,1.7e-05,-0.523661,-1.33061
281,167,8,1.6,0.500895,-0.72307
364,461,8,1.6,0.039788,1.183502
391,402,1,1.7e-05,-0.281529,-0.522555
24,436,8,1.6,-0.841148,1.293317
399,358,4,6.7e-05,0.746352,-1.231158
462,23,4,6.7e-05,0.584255,0.46885
466,90,3,5e-05,-1.198785,-1.542157
591,151,6,1.2,-0.944379,1.839053
453,281,2,3.3e-05,1.690707,1.053688
152,290,4,6.7e-05,0.847146,-0.87628
499,371,10,1.674481,0.263439,0.584717
293,177,2,3.3e-05,1.53189,-1.310182
417,400,5,1.0,1.086973,1.205062
420,153,6,1.2,-1.619504,-0.022185
54,445,10,1.674481,1.86593,0.524795
299,176,5,1.0,0.423326,-1.778523
614,413,2,3.3e-05,0.815333,-0.012085
538,417,6,1.2,0.182933,0.707713
457,455,4,6.7e-05,-0.381122,-1.400445
483,61,9,1.8,-0.413512,-0.053224
9,80,7,1.4,0.216386,-0.232793
377,183,1,1.7e-05,1.083193,0.228455
365,452,8,1.6,-0.879131,-1.064968
549,406,4,6.7e-05,-1.091346,-1.001687
287,330,10,1.674481,1.128401,1.088609
303,124,7,1.4,0.30532,0.372728
605,359,5,1.0,-1.907839,-1.95209
396,133,1,1.7e-05,1.321637,1.548539
237,28,3,5e-05,-1.936009,1.96833
441,477,6,1.2,-1.074766,-0.895207
619,266,5,1.0,0.282637,1.916557
283,190,10,1.674481,-0.266227,1.977608
41,461,9,1.8,1.986175,1.399137
337,89,8,1.6,-1.853123,-0.026753
450,194,10,1.674481,1.988185,-0.467609
589,461,8,1.6,0.364145,1.119113
406,104,8,1.6,0.788076,0.714625
154,460,1,1.7e-05,-0.504372,-0.492267
388,190,1,1.7e-05,0.820417,-1.31187
212,136,4,6.7e-05,-1.664942,-0.375878
107,74,10,1.674481,1.632341,1.826865
16,72,1,1.7e-05,-1.975089,1.460199
271,12,8,1.6,-0.005798,-1.998594
305,420,3,5e-05,-1.674998,-1.232159
153,321,10,1.674481,0.785779,-1.761829
595,45,3,5e-05,-0.081737,-1.832719
351,437,3,5e-05,-0.022452,-1.100261
558,390,7,1.4,1.198977,-1.677908
236,173,3,5e-05,-1.722128,0.702991
75,224,6,1.2,-0.611463,-1.754836
158,348,4,6.7e-05,0.042743,1.457836
598,219,7,1.4,1.391535,-0.553224
407,423,1,1.7e-05,1.673529,-1.86525
407,138,7,1.4,-1.464462,-0.078851
445,379,7,1.4,1.054927,-1.38243
522,465,8,1.6,0.573422,0.927111
500,423,10,1.674481,-0.089096,0.757304
77,122,7,1.4,1.265669,1.557882
303,204,2,3.3e-05,0.914014,1.576722
165,32,10,1.674481,0.863858,0.528829
581,127,10,1.674481,-1.431558,-1.206162
156,425,8,1.6,1.41448,1.520055
115,351,10,1.674481,0.688918,1.753888
533,290,1,1.7e-05,-1.306298,-1.772207
258,211,6,1.2,1.377257,-1.987899
510,396,10,1.674481,0.175328,-1.998333
164,295,3,5e-05,1.172623,-0.297959
461,268,6,1.2,-1.561085,0.366192
270,463,8,1.6,1.828346,-1.535165
350,26,5,1.0,0.380865,-1.690685
254,316,10,1.674481,-1.121593,1.013838
532,289,3,5e-05,1.961923,1.427955
476,254,3,5e-05,1.838735,-1.221039
595,278,7,1.4,1.768188,1.10597
94,358,8,1.6,1.812449,0.001343
495,320,3,5e-05,1.076818,-1.424379
121,399,4,6.7e-05,0.351534,-0.567567
477,352,8,1.6,-0.443187,1.752983
70,98,1,1.7e-05,-0.384667,-1.910567
163,26,7,1.4,-0.921435,-1.817041
290,97,9,1.8,-1.68967,-0.374649
354,97,3,5e-05,-1.447351,1.605562
486,466,8,1.6,-0.626008,0.225675
264,344,5,1.0,-0.306546,0.714975
5,441,7,1.4,1.058029,1.855086
260,186,5,1.0,-1.774978,-1.630165
245,24,3,5e-05,-1.46363,-0.402377
29,270,8,1.6,-1.222949,-0.014899
226,118,5,1.0,0.16777,0.632761
42,438,3,5e-05,1.144283,-0.226319
170,272,6,1.2,1.322471,-1.134678
549,433,7,1.4,-0.359643,-1.127714
367,426,6,1.2,-0.002497,-1.071951
437,61,5,1.0,0.135376,0.933112
525,205,9,1.8,-1.3083,-0.412281
610,376,8,1.6,-1.378021,1.667918
419,300,3,5e-05,-1.106226,-1.366082
318,477,3,5e-05,0.725266,-1.457092
138,430,1,1.7e-05,-0.8326,-1.422151
478,441,5,1.0,-1.937943,0.412852
29,79,5,1.0,-1.71302,1.202345
202,24,9,1.8,0.487025,1.364248
92,11,7,1.4,0.23955,-1.501607
329,321,9,1.8,-0.19346,1.70413
81,103,6,1.2,1.996762,0.620974
292,39,4,6.7e-05,0.935766,-1.631183
124,58,1,1.7e-05,0.534269,-0.030107
525,202,8,1.6,1.336836,0.755434
132,190,7,1.4,1.034675,-0.726164
90,425,4,6.7e-05,-0.916464,-0.763837
502,404,8,1.6,-1.933269,0.282359
277,400,10,1.674481,-0.185864,0.23671
397,43,4,6.7e-05,-1.963241,1.264541
123,120,10,1.674481,1.176877,-0.698974
470,55,10,1.674481,-1.381129,-1.718301
169,151,1,1.7e-05,-1.354751,0.188768
441,243,8,1.6,1.922974,-1.196022
638,137,8,1.6,1.933339,-1.663242
218,185,9,1.8,-0.627568,-1.234447
375,285,3,5e-05,0.140158,-1.188784
402,199,5,1.0,-0.666995,-1.926091
246,435,10,1.674481,-0.570228,-0.10666
524,319,5,1.0,1.987875,-1.54681
35,328,10,1.674481,-0.542792,-0.547122
93,326,7,1.4,-0.532976,-1.936004
559,69,6,1.2,1.39329,-1.415873
3,246,2,3.3e-05,-1.739798,1.803326
543,376,2,3.3e-05,-1.74686,-0.126992
333,112,3,5e-05,-1.53537,1.134307
125,453,7,1.4,1.712972,0.571422
293,289,4,6.7e-05,-0.797503,0.032315
621,170,6,1.2,-1.001582,-1.105437
608,59,6,1.2,0.908624,-1.414805
11,401,3,5e-05,1.627256,-0.926355
534,283,1,1.7e-05,-0.149583,-0.798656
453,318,8,1.6,1.913946,0.702951
457,384,3,5e-05,-1.985815,-0.803374
56,290,2,3.3e-05,1.050905,1.993604
283,350,8,1.6,1.519148,-0.948001
471,346,1,1.7e-05,-0.894235,1.186006
132,366,2,3.3e-05,-0.860712,0.548616
543,462,4,6.7e-05,-0.114146,-1.404206
226,301,3,5e-05,1.741332,-0.074382
139,33,10,1.674481,1.349378,-1.009672
278,75,9,1.8,-0.114304,0.256635
289,257,7,1.4,-1.21162,-0.744287
16,219,4,6.7e-05,0.922695,1.399732
451,285,1,1.7e-05,-0.688284,-1.313757
118,95,1,1.7e-05,0.684799,-1.752507
35,117,9,1.8,0.273564,-1.6135
404,474,4,6.7e-05,1.460705,-0.30656
259,99,3,5e-05,-1.037539,0.924209
18,194,9,1.8,-1.360752,-1.038934
587,261,2,3.3e-05,1.572485,1.756727
617,478,7,1.4,1.860946,0.053203
186,87,8,1.6,-1.578744,-0.155832
147,272,7,1.4,-1.157481,0.171632
39,198,4,6.7e-05,0.38062,1.208245
215,272,9,1.8,0.57407,-0.775515
225,311,7,1.4,1.232185,-1.436311
278,317,1,1.7e-05,-0.531054,-1.476328
626,117,3,5e-05,1.578846,-1.042072
142,143,3,5e-05,-0.742213,1.550691
254,257,9,1.8,1.30706,1.213865
431,386,10,1.674481,-0.704675,0.653186
530,4,3,5e-05,-0.102906,0.544977
632,132,7,1.4,0.514571,0.690615
249,288,2,3.3e-05,-1.238184,-0.670248
468,281,3,5e-05,1.886331,-0.53026
292,125,3,5e-05,0.094246,0.325509
530,4,5,1.0,-0.026779,1.63837
513,466,3,5e-05,0.0561,-0.496174
37,409,3,5e-05,-0.885349,-1.722366
198,107,4,6.7e-05,0.964737,-1.461647
104,232,10,1.674481,-1.251223,-1.891974
611,157,10,1.674481,-0.566106,1.741093
128,212,8,1.6,1.102241,-1.697319
142,429,4,6.7e-05,1.462295,1.184509
68,32,4,6.7e-05,0.914315,0.694845
478,385,1,1.7e-05,-1.375627,0.065457
192,58,1,1.7e-05,-1.063029,-1.445769
338,210,8,1.6,-0.325195,0.873412
437,130,3,5e-05,-0.799654,-1.259055
144,390,4,6.7e-05,-0.946136,-0.596443
542,320,5,1.0,1.954743,1.487223
302,334,3,5e-05,-1.970435,0.805937
303,424,3,5e-05,0.347737,1.253541
385,262,7,1.4,-1.324409,-0.927615
203,212,1,1.7e-05,-1.549955,-1.885001
48,377,3,5e-05,-0.576403,-1.215558
566,237,4,6.7e-05,0.726594,-1.528969
312,189,4,6.7e-05,-1.980737,-0.06508
328,390,9,1.8,-0.879734,-0.381909
408,476,4,6.7e-05,1.468347,1.068966
264,3,7,1.4,-0.375851,1.179101
431,151,10,1.674481,0.796119,-1.49074
241,85,2,3.3e-05,-1.533559,0.33814
475,178,4,6.7e-05,-1.888824,-1.081413
255,300,3,5e-05,1.06451,-1.042555
57,363,8,1.6,0.060076,0.754031
152,127,6,1.2,0.482556,-0.719516
141,3,8,1.6,-0.81047,0.339699
111,294,10,1.674481,0.747373,0.361873
224,148,2,3.3e-05,1.496032,-1.933442
116,114,9,1.8,1.092026,0.530315
265,77,10,1.674481,1.927209,-0.354744
76,235,10,1.674481,1.335294,-1.322901
24,473,2,3.3e-05,1.758445,1.373661
390,269,6,1.2,0.43586,-0.589036
117,175,7,1.4,1.628447,0.210058
354,212,10,1.674481,-1.301719,0.661186
607,451,8,1.6,-0.531156,-1.348944
473,206,1,1.7e-05,1.615359,-1.64879
304,436,9,1.8,-1.024725,-0.123511
288,185,1,1.7e-05,1.788617,0.772289
413,55,10,1.674481,1.838223,1.895397
326,345,5,1.0,0.145238,-1.708447
163,17,8,1.6,0.875654,-1.915174
11,12,7,1.4,-1.042086,-0.593232
