x_loc,y_loc,radius,mass,x_vel,y_vel
257,238,3,5e-05,0.234746,1.036247
75,476,8,1.6,0.816952,-0.247146
520,245,1,1.7e-05,-1.898068,-1.541231
136,337,7,1.4,-0.819232,1.588519
441,140,10,1.674481,-0.300493,-1.70362
200,113,4,6.7e-05,1.261446,0.077039
573,185,7,1.4,0.202581,-1.440178
454,330,2,3.3e-05,-1.380733,0.13858
236,56,7,1.4,1.996025,-1.627744
584,155,5,1.0,-0.161953,-0.21548
447,163,7,1.4,-0.674348,0.235199
412,330,5,1.0,-0.924762,-0.094139
573,137,10,1.674481,-1.640979,-1.744708
106,181,1,1.7e-05,0.929012,0.869835
137,161,8,1.6,1.755597,-0.001556
629,175,7,1.4,1.833137,-0.364635
274,136,1,1.7e-05,1.45766,-1.272057
530,118,8,1.6,1.785546,1.75267
613,326,6,1.2,1.235336,0.959462
541,83,1,1.7e-05,1.307563,0.72159
322,267,6,1.2,-0.5617,1.447031
272,477,7,1.4,-1.944383,-1.5386
37,210,2,3.3e-05,0.677291,-1.115993
240,94,1,1.7e-05,-1.215519,-1.64657
384,225,3,5e-05,-0.496925,-0.786219
166,162,6,1.2,1.426341,1.101941
545,464,8,1.6,1.631633,-1.433881
345,327,3,5e-05,-1.798336,1.439363
164,444,2,3.3e-05,0.183375,-1.316943
53,454,8,1.6,1.57287,0.014988
316,257,2,3.3e-05,-1.495757,0.179752
429,111,6,1.2,-1.764177,-1.437284
222,466,10,1.674481,-0.665428,1.941057
48,168,6,1.2,-1.654674,-0.260502
463,323,8,1.6,0.915095,-1.669844
119,59,5,1.0,1.295388,-0.430428
377,209,7,1.4,-1.239664,1.67868
352,80,1,1.7e-05,-0.557225,-1.370862
470,264,8,1.6,1.215322,0.19464
319,395,4,6.7e-05,-0.801536,1.03567
14,5,1,1.7e-05,0.60035,1.210705
297,205,8,1.6,0.776527,-1.158003
483,402,8,1.6,-1.231313,-0.628977
365,449,1,1.7e-05,-0.473105,-0.67267
376,97,8,1.6,0.447483,-1.719391
4,127,10,1.674481,1.63829,-0.961361
324,282,9,1.8,1.460182,0.680944
272,431,7,1.4,0.65044,0.717664
513,201,4,6.7e-05,-1.258139,-1.937435
443,293,4,6.7e-05,0.258916,0.080993
44,280,3,5e-05,0.308276,-0.964366
439,474,9,1.8,-0.797498,1.514244
370,445,4,6.7e-05,0.136802,-0.190547
213,70,2,3.3e-05,-0.399234,-1.473493
201,373,8,1.6,0.793248,1.646924
121,23,2,3.3e-05,-1.204497,-1.149869
504,227,2,3.3e-05,-1.425133,-0.37497
375,301,1,1.7e-05,0.822718,-0.914561
98,19,9,1.8,1.387445,1.759586
268,291,9,1.8,-1.190183,1.193383
355,132,7,1.4,-0.370429,-1.977192
148,20,10,1.674481,0.742344,-1.356188
619,62,5,1.0,1.981777,-0.03046
430,8,8,1.6,-1.999987,-1.5225
565,298,4,6.7e-05,-0.292842,-0.552823
439,300,10,1.674481,1.065553,1.082659
16,33,9,1.8,1.690637,-1.527606
103,216,1,1.7e-05,-0.535844,-1.063213
430,144,9,1.8,1.348549,0.195631
254,153,10,1.674481,-1.593335,-0.710406
287,300,3,5e-05,-1.640906,1.856147
433,190,6,1.2,-1.035417,1.452761
213,259,1,1.7e-05,-1.777311,1.178938
397,473,10,1.674481,-0.633213,0.282787
48,159,4,6.7e-05,-1.344141,-0.199254
19,14,10,1.674481,-0.292041,0.940625
408,85,6,1.2,-1.261742,1.039406
410,25,5,1.0,1.431175,-0.951382
107,229,10,1.674481,1.540121,-1.129568
536,467,2,3.3e-05,0.653346,-0.557323
504,84,8,1.6,-1.15702,1.671286
148,153,9,1.8,-0.978349,0.554677
357,250,2,3.3e-05,0.510081,-0.855494
381,117,10,1.674481,1.876298,-1.227125
254,259,8,1.6,-1.827659,0.730871
522,227,5,1.0,0.165719,1.568001
289,244,6,1.2,-0.150527,1.158365
204,208,7,1.4,-0.041001,1.639372
335,259,9,1.8,0.419936,0.392142
628,38,8,1.6,0.581373,1.152946
179,223,3,5e-05,0.177513,-1.413654
284,473,2,3.3e-05,0.154351,-1.954771
635,229,9,1.8,-1.213823,1.652749
417,314,8,1.6,1.545379,0.783267
353,132,6,1.2,1.596162,-1.03976
82,107,10,1.674481,1.078145,0.923785
577,169,10,1.674481,1.733059,1.787605
470,221,6,1.2,-1.295922,0.261911
391,171,4,6.7e-05,-0.543826,-1.218299
216,360,2,3.3e-05,0.303096,-0.884734
