x_loc,y_loc,radius,mass,x_vel,y_vel
320,240,1,30.0,0.0,0.0
330.0,240.0,1,0.05,-0.0,5.200481
323.472964,259.696155,3,0.8,-3.666343,0.646475
291.809221,250.260604,5,1.0,-1.043021,-2.865677
300.0,205.358984,7,0.1,2.253747,-1.301201
388.944,182.149115,9,8.372405,1.259149,1.500595
434.906666,336.418141,11,8.372405,-0.975332,1.162356
200.0,447.846097,13,2.790802,-0.960334,-0.554449
38.092214,137.393957,15,3.220156,0.341439,-0.938096
169,26,1,1.7e-05,0.175793,0.710312
18,269,1,1.7e-05,1.226177,-0.230876
488,234,1,1.7e-05,-1.779474,-0.670475
577,153,1,1.7e-05,1.034226,1.930998
312,58,1,1.7e-05,1.63353,-1.529172
504,129,1,1.7e-05,-0.255918,-0.714865
27,346,1,1.7e-05,0.344342,0.270632
55,401,1,1.7e-05,1.862922,-1.230939
553,202,1,1.7e-05,0.707239,1.344106
359,41,1,1.7e-05,-1.355745,-0.493318
334,141,1,1.7e-05,-1.66659,-1.378892
550,395,1,1.7e-05,-1.69437,-1.553655
360,333,1,1.7e-05,-0.46933,1.360031
310,75,1,1.7e-05,1.791799,0.582433
470,400,1,1.7e-05,0.278065,-1.204738
61,331,1,1.7e-05,1.308312,-0.678284
260,454,1,1.7e-05,1.335898,-0.109403
495,434,1,1.7e-05,1.557677,-1.910845
540,3,1,1.7e-05,0.967923,-0.34671
423,380,1,1.7e-05,0.538683,1.814003
297,84,1,1.7e-05,-1.409946,1.666948
311,32,1,1.7e-05,0.760132,0.935355
157,409,1,1.7e-05,-1.975208,1.294382
211,292,1,1.7e-05,1.714239,1.472445
140,224,1,1.7e-05,-0.626557,-1.272774
566,392,1,1.7e-05,1.323726,-1.266313
543,45,1,1.7e-05,-0.946131,-1.674236
301,213,1,1.7e-05,-0.726894,-0.579898
339,39,1,1.7e-05,-1.989611,-0.629808
540,332,1,1.7e-05,-1.509261,-0.342383
264,132,1,1.7e-05,-1.636958,0.341576
554,183,1,1.7e-05,1.336373,-1.852399
262,272,1,1.7e-05,-1.466428,0.597824
165,335,1,1.7e-05,-1.890449,1.328851
123,2,1,1.7e-05,0.156076,-1.298869
183,305,1,1.7e-05,0.604671,0.564512
71,394,1,1.7e-05,-1.541563,0.120553
386,31,1,1.7e-05,-0.499149,0.99867
97,236,1,1.7e-05,-0.017987,0.590821
281,437,1,1.7e-05,0.429983,0.277144
579,428,1,1.7e-05,0.066956,0.35884
194,323,1,1.7e-05,0.425655,-0.837172
12,290,1,1.7e-05,1.261643,0.668728
120,352,1,1.7e-05,1.777215,-1.056666
144,302,1,1.7e-05,1.915023,1.451472
464,82,1,1.7e-05,-1.971564,-1.35698
83,183,1,1.7e-05,-1.597097,-0.878137
206,8,1,1.7e-05,0.468718,0.945864
469,409,1,1.7e-05,-0.799305,-1.382282
195,241,1,1.7e-05,-1.108789,-1.1578
358,300,1,1.7e-05,-1.423385,-1.383413
186,151,1,1.7e-05,-0.232713,-1.753302
526,294,1,1.7e-05,1.252091,0.438144
459,323,1,1.7e-05,-1.488882,-1.388729
308,407,1,1.7e-05,-0.388599,-0.891888
249,144,1,1.7e-05,-0.472457,-0.325409
251,353,1,1.7e-05,-1.674668,-0.241121
214,196,1,1.7e-05,0.746885,-1.254232
16,39,1,1.7e-05,0.321178,-0.185684
234,95,1,1.7e-05,-0.693584,0.204184
371,187,1,1.7e-05,1.897593,0.267401
577,440,1,1.7e-05,1.940622,-1.758252
86,98,1,1.7e-05,-0.454579,-0.045061
120,120,1,1.7e-05,0.656008,-1.936016
126,457,1,1.7e-05,0.69034,0.982041
39,300,1,1.7e-05,-1.906445,1.557572
469,10,1,1.7e-05,-0.27844,1.101316
17,180,1,1.7e-05,0.807874,0.829673
466,447,1,1.7e-05,0.263302,1.813728
376,73,1,1.7e-05,-0.892237,-0.590436
319,63,1,1.7e-05,-0.46434,-1.956371
173,427,1,1.7e-05,0.075329,-0.296966
289,11,1,1.7e-05,0.449978,1.884457
191,96,1,1.7e-05,-0.246503,-1.454954
525,98,1,1.7e-05,-1.250614,0.515477
598,378,1,1.7e-05,-1.879469,-1.765905
586,265,1,1.7e-05,-0.4124,-1.135312
422,372,1,1.7e-05,1.555399,-1.782804
190,23,1,1.7e-05,0.204168,1.064917
454,471,1,1.7e-05,-0.7385,0.371357
68,96,1,1.7e-05,-0.107047,-1.799882
316,351,1,1.7e-05,-1.016355,1.262992
64,454,1,1.7e-05,0.674211,0.510619
333,332,1,1.7e-05,-0.716212,-1.485176
411,416,1,1.7e-05,1.761294,1.88653
199,255,1,1.7e-05,1.982756,-1.668671
614,179,1,1.7e-05,1.926391,0.499708
639,468,1,1.7e-05,-1.774048,1.512877
360,441,1,1.7e-05,0.880282,-1.546542
385,268,1,1.7e-05,-1.78658,1.557498
112,253,1,1.7e-05,0.295388,-0.253572
601,461,1,1.7e-05,1.23753,-0.583083
51,263,1,1.7e-05,-1.197015,1.670101
96,449,1,1.7e-05,-0.395385,-1.737692
388,0,1,1.7e-05,-0.449007,-1.684149
274,188,1,1.7e-05,-0.668953,1.70675
92,126,1,1.7e-05,-1.147471,-0.363692
547,379,1,1.7e-05,-0.317702,1.581254
9,393,1,1.7e-05,-0.482708,-0.77996
568,287,1,1.7e-05,1.769095,-1.773714
354,471,1,1.7e-05,-1.363351,-1.764586
300,319,1,1.7e-05,0.718874,-0.775004
519,73,1,1.7e-05,1.340246,-1.978027
292,116,1,1.7e-05,-0.325012,0.50374
94,431,1,1.7e-05,-0.185736,0.274272
295,143,1,1.7e-05,0.24298,-0.399068
300,461,1,1.7e-05,0.00494,0.695881
368,249,1,1.7e-05,-0.134968,0.704724
350,252,1,1.7e-05,-0.596794,1.163516
368,155,1,1.7e-05,1.556805,-0.507416
332,112,1,1.7e-05,0.759396,0.755172
237,275,1,1.7e-05,0.863504,0.976393
431,366,1,1.7e-05,1.089816,1.465744
316,425,1,1.7e-05,-1.516526,1.340563
437,281,1,1.7e-05,1.130125,1.903152
276,136,1,1.7e-05,-0.018421,1.819151
273,121,1,1.7e-05,1.582265,-0.216713
169,362,1,1.7e-05,-0.831662,1.460885
629,139,1,1.7e-05,1.255876,1.651066
514,464,1,1.7e-05,1.445269,-1.806577
622,278,1,1.7e-05,-0.855755,1.72242
29,275,1,1.7e-05,0.376305,-0.2519
281,183,1,1.7e-05,1.705748,-0.146183
563,198,1,1.7e-05,1.55711,0.752595
278,152,1,1.7e-05,1.346278,0.408082
601,18,1,1.7e-05,1.862719,-0.946307
101,93,1,1.7e-05,1.711009,1.713399
250,271,1,1.7e-05,0.728818,-0.107763
185,380,1,1.7e-05,1.981096,-0.843342
477,76,1,1.7e-05,0.752611,-0.860227
448,208,1,1.7e-05,0.293674,-0.655707
617,76,1,1.7e-05,-0.45115,0.752906
88,301,1,1.7e-05,1.690134,0.103334
101,406,1,1.7e-05,0.138386,0.162001
375,35,1,1.7e-05,-1.493987,-1.688193
550,269,1,1.7e-05,0.931951,0.732585
590,54,1,1.7e-05,-0.737458,-0.679457
425,159,1,1.7e-05,-0.915237,-1.993993
312,116,1,1.7e-05,-1.41687,-0.511867
299,61,1,1.7e-05,1.177901,1.468436
111,111,1,1.7e-05,0.422743,1.866779
84,473,1,1.7e-05,-0.683234,0.182472
462,6,1,1.7e-05,0.028399,-0.790029
198,368,1,1.7e-05,1.002622,-1.617575
386,100,1,1.7e-05,-1.386918,-1.932056
43,376,1,1.7e-05,1.787865,-0.097786
246,336,1,1.7e-05,0.083147,1.185366
516,210,1,1.7e-05,1.942442,-0.545138
477,180,1,1.7e-05,0.691359,1.813696
203,424,1,1.7e-05,-0.876979,1.599114
608,310,1,1.7e-05,-0.723273,-0.473357
485,73,1,1.7e-05,1.362459,-1.535568
148,265,1,1.7e-05,1.849122,1.536426
231,402,1,1.7e-05,0.352599,-1.328406
504,391,1,1.7e-05,-0.124559,-0.047223
68,157,1,1.7e-05,1.367895,1.077216
26,235,1,1.7e-05,1.548964,1.597524
332,328,1,1.7e-05,0.777287,-1.629749
467,296,1,1.7e-05,1.555331,-0.328671
1,167,1,1.7e-05,0.609833,0.528321
138,191,1,1.7e-05,1.557875,-1.412037
379,350,1,1.7e-05,1.090172,0.754562
300,86,1,1.7e-05,0.232758,0.831085
252,194,1,1.7e-05,-0.807974,1.734598
225,435,1,1.7e-05,1.872888,-0.910851
21,317,1,1.7e-05,0.48771,-0.614819
212,21,1,1.7e-05,-0.972476,0.492797
518,380,1,1.7e-05,-1.513892,-1.598258
178,432,1,1.7e-05,1.186184,-0.406937
532,97,1,1.7e-05,-1.245842,-1.484347
212,433,1,1.7e-05,-0.870851,0.284005
332,30,1,1.7e-05,1.269167,-0.262635
248,437,1,1.7e-05,-0.675159,-0.108256
245,242,1,1.7e-05,-0.830931,-0.952429
473,398,1,1.7e-05,1.46463,-1.364978
169,230,1,1.7e-05,-0.775041,0.979414
29,234,1,1.7e-05,1.276948,-1.229498
579,176,1,1.7e-05,0.706732,1.209181
600,336,1,1.7e-05,-0.624057,1.789306
500,233,1,1.7e-05,-0.490345,1.028085
82,444,1,1.7e-05,1.540788,0.227708
554,38,1,1.7e-05,0.366426,1.58122
207,360,1,1.7e-05,-1.644121,0.49786
102,309,1,1.7e-05,0.481582,1.788584
76,38,1,1.7e-05,-0.045648,-1.611815
423,14,1,1.7e-05,1.262654,0.274445
168,293,1,1.7e-05,-1.987006,1.038516
427,156,1,1.7e-05,0.394465,0.611695
430,393,1,1.7e-05,-1.676078,-0.326392
597,367,1,1.7e-05,-1.144688,-0.577222
228,174,1,1.7e-05,1.298893,0.904071
611,60,1,1.7e-05,1.423951,-1.591591
195,466,1,1.7e-05,-0.840049,0.804795
414,371,1,1.7e-05,-1.397377,0.238158
260,236,1,1.7e-05,0.380069,-0.006535
10,34,1,1.7e-05,1.279394,0.824112
293,399,1,1.7e-05,-0.726171,-0.304707
390,162,1,1.7e-05,-0.608781,-1.938513
266,45,1,1.7e-05,0.685007,-0.369312
482,475,1,1.7e-05,-1.19987,-1.253922
306,279,1,1.7e-05,0.632533,-0.643871
402,164,1,1.7e-05,-0.441372,1.669455
299,474,1,1.7e-05,-1.616619,0.230078
172,84,1,1.7e-05,1.661599,1.933786
329,214,1,1.7e-05,-1.530153,-0.261711
362,203,1,1.7e-05,0.905036,-0.775955
129,227,1,1.7e-05,-1.971766,-1.564449
234,404,1,1.7e-05,-0.969089,1.270511
190,181,1,1.7e-05,-1.135827,1.572115
439,367,1,1.7e-05,1.794025,-0.073498
98,184,1,1.7e-05,1.181256,1.288094
36,101,1,1.7e-05,0.75572,0.455222
193,58,1,1.7e-05,0.482678,-1.634186
332,33,1,1.7e-05,-1.655123,0.653349
601,296,1,1.7e-05,1.873975,-1.44745
252,372,1,1.7e-05,-0.691883,1.730398
470,282,1,1.7e-05,0.363644,-0.203566
609,367,1,1.7e-05,1.014465,-1.726713
222,86,1,1.7e-05,0.382695,-0.039045
36,172,1,1.7e-05,0.38149,1.227916
320,228,1,1.7e-05,-1.51447,-1.7693
478,189,1,1.7e-05,1.668648,1.747528
465,318,1,1.7e-05,0.486266,-0.24237
606,281,1,1.7e-05,1.565813,-0.68599
510,32,1,1.7e-05,0.33115,-0.733217
426,27,1,1.7e-05,1.026488,0.155488
598,254,1,1.7e-05,1.019116,1.359668
436,404,1,1.7e-05,0.68093,1.538737
116,93,1,1.7e-05,0.337554,0.672947
319,78,1,1.7e-05,-0.131342,-1.253402
7,183,1,1.7e-05,1.997248,-1.3136
174,153,1,1.7e-05,-0.446757,-1.157835
149,315,1,1.7e-05,1.090778,-0.952679
631,216,1,1.7e-05,-1.011454,0.109517
27,267,1,1.7e-05,1.256859,0.86361
563,279,1,1.7e-05,-0.170305,-1.72334
35,281,1,1.7e-05,-1.90746,0.471369
20,305,1,1.7e-05,-1.399761,-0.1734
91,295,1,1.7e-05,-1.302634,0.496442
194,130,1,1.7e-05,0.944764,0.602723
99,39,1,1.7e-05,1.44211,-0.263178
291,372,1,1.7e-05,0.829189,-1.378758
384,30,1,1.7e-05,-1.922012,1.684736
566,289,1,1.7e-05,-0.344677,0.052098
442,54,1,1.7e-05,-0.206695,-1.561575
173,122,1,1.7e-05,-1.421264,-0.729528
107,442,1,1.7e-05,-1.032517,-1.330361
237,322,1,1.7e-05,0.802599,1.406122
594,165,1,1.7e-05,-1.927719,1.193292
499,224,1,1.7e-05,-1.971176,0.21046
529,441,1,1.7e-05,-0.571443,0.458816
556,329,1,1.7e-05,0.646138,-1.07667
252,183,1,1.7e-05,-1.085842,-0.058023
121,390,1,1.7e-05,0.094082,1.691652
91,326,1,1.7e-05,1.963136,1.144283
445,235,1,1.7e-05,-0.71691,-0.511791
600,330,1,1.7e-05,0.488801,-1.485492
3,181,1,1.7e-05,0.020071,0.220776
413,129,1,1.7e-05,-1.823783,-1.217563
373,330,1,1.7e-05,-0.468956,1.150069
14,174,1,1.7e-05,1.570307,-0.571841
25,392,1,1.7e-05,1.155109,1.785041
355,433,1,1.7e-05,-1.558846,0.154311
364,448,1,1.7e-05,1.341814,1.272636
570,184,1,1.7e-05,-0.921323,-0.315766
325,84,1,1.7e-05,1.571116,-1.611282
370,286,1,1.7e-05,1.707381,0.813262
222,198,1,1.7e-05,1.820258,0.719689
87,378,1,1.7e-05,-0.9996,-1.066624
414,95,1,1.7e-05,-1.298034,1.260454
388,327,1,1.7e-05,-0.638443,-0.961192
142,123,1,1.7e-05,1.046248,0.41508
391,148,1,1.7e-05,0.882082,0.45769
111,287,1,1.7e-05,1.910898,-1.87529
460,134,1,1.7e-05,-0.185564,1.425312
379,414,1,1.7e-05,0.907751,0.055464
176,428,1,1.7e-05,1.149555,-0.27436
422,276,1,1.7e-05,-1.909964,0.130202
195,148,1,1.7e-05,1.210927,0.98694
109,363,1,1.7e-05,0.365048,-0.641566
486,10,1,1.7e-05,-0.976269,-1.597296
512,361,1,1.7e-05,0.459229,-1.70203
616,87,1,1.7e-05,1.165954,-1.643287
133,413,1,1.7e-05,-1.699005,0.401451
232,16,1,1.7e-05,0.616668,-0.554485
100,411,1,1.7e-05,0.897055,-1.65604
584,300,1,1.7e-05,-0.953927,0.624532
193,198,1,1.7e-05,-0.622377,-1.533515
547,390,1,1.7e-05,-1.732275,-0.526065
423,476,1,1.7e-05,-0.787996,1.216475
574,200,1,1.7e-05,-0.291269,0.262516
161,18,1,1.7e-05,-1.52355,1.022739
305,436,1,1.7e-05,1.086991,-0.24613
563,247,1,1.7e-05,1.936256,-1.048833
472,306,1,1.7e-05,-0.198134,-1.335495
440,342,1,1.7e-05,0.572932,-1.869034
620,74,1,1.7e-05,1.109568,-1.944509
488,51,1,1.7e-05,0.37731,-1.278767
159,271,1,1.7e-05,1.777279,1.944882
16,368,1,1.7e-05,0.262217,1.678685
138,254,1,1.7e-05,1.06162,1.373489
382,19,1,1.7e-05,-1.347481,1.116551
398,337,1,1.7e-05,0.469342,-0.143706
418,138,1,1.7e-05,-0.838862,0.388546
366,364,1,1.7e-05,1.31104,0.553585
341,78,1,1.7e-05,1.632213,1.178172
37,140,1,1.7e-05,-1.148236,-1.703889
478,476,1,1.7e-05,1.390292,0.540721
125,31,1,1.7e-05,0.107884,0.582381
623,175,1,1.7e-05,0.659189,-1.115931
19,23,1,1.7e-05,0.299628,-1.79366
74,426,1,1.7e-05,1.700368,0.94889
259,1,1,1.7e-05,-1.360737,-0.500698
317,280,1,1.7e-05,0.615356,1.707026
114,369,1,1.7e-05,-0.679586,-0.158888
182,269,1,1.7e-05,0.081245,0.098755
506,256,1,1.7e-05,1.945026,0.467334
2,131,1,1.7e-05,0.943244,-0.902445
292,187,1,1.7e-05,1.459467,0.00494
410,478,1,1.7e-05,0.265829,0.077761
213,474,1,1.7e-05,-0.942657,0.794952
272,164,1,1.7e-05,-1.874985,1.332649
334,202,1,1.7e-05,1.380359,0.107515
389,29,1,1.7e-05,0.807084,-1.218024
27,111,1,1.7e-05,-1.348174,-0.618315
322,421,1,1.7e-05,1.740493,1.640779
136,157,1,1.7e-05,-1.37546,-0.570327
419,149,1,1.7e-05,0.264477,1.344454
543,183,1,1.7e-05,0.650793,-0.843125
104,256,1,1.7e-05,-1.919806,-1.142785
30,22,1,1.7e-05,-0.194156,0.300849
583,241,1,1.7e-05,-0.83694,0.449675
161,417,1,1.7e-05,1.342126,-1.509622
80,367,1,1.7e-05,0.068122,0.834199
261,380,1,1.7e-05,1.89667,1.634494
395,106,1,1.7e-05,1.174574,1.476968
379,132,1,1.7e-05,0.834452,-0.700184
566,213,1,1.7e-05,-1.358334,-1.059179
423,379,1,1.7e-05,-1.612707,1.381846
169,239,1,1.7e-05,-0.480364,0.824718
620,422,1,1.7e-05,-0.568115,-0.922739
454,408,1,1.7e-05,-1.007345,-0.694407
422,314,1,1.7e-05,-1.692541,0.813026
474,469,1,1.7e-05,-1.624712,-0.061813
314,355,1,1.7e-05,0.862515,1.433007
612,322,1,1.7e-05,-0.759588,0.280654
461,252,1,1.7e-05,0.508877,0.247751
103,379,1,1.7e-05,0.332535,-0.409003
59,370,1,1.7e-05,1.967125,0.004576
451,255,1,1.7e-05,-0.327181,1.478979
525,27,1,1.7e-05,-0.901492,1.862297
536,437,1,1.7e-05,-0.070591,1.758716
193,248,1,1.7e-05,-0.964455,1.920479
628,151,1,1.7e-05,-0.281401,-1.170463
203,267,1,1.7e-05,-1.348494,0.338538
488,141,1,1.7e-05,0.050661,1.484037
141,454,1,1.7e-05,-0.818648,1.605595
119,117,1,1.7e-05,1.017134,1.938137
143,188,1,1.7e-05,-0.292491,-0.689737
344,320,1,1.7e-05,1.643829,-0.940149
75,74,1,1.7e-05,1.260667,-1.768266
93,187,1,1.7e-05,-1.998523,-1.476529
